velocity, maxwell_300, maxwell_600, maxwell_1500
velocity, Maxwell distribution for 300 m/s velocity, Maxwell distribution for 600 m/s velocity, Maxwell distribution for 1500 m/s velocity
m/s, units? , units?, units?
1482, 5.81657258759e-08, 2.4271991063e-05, 0.000427942419158
1484, 5.61363862557e-08, 2.38769995155e-05, 0.000425831626174
1486, 5.41748596146e-08, 2.34877453924e-05, 0.000423725338337
1488, 5.22789895499e-08, 2.31041580848e-05, 0.000421623596056
1490, 5.04466843348e-08, 2.27261676279e-05, 0.00041952643927
1492, 4.86759151129e-08, 2.23537046995e-05, 0.000417433907453
1494, 4.6964714138e-08, 2.19867006181e-05, 0.000415346039612
1496, 4.53111730587e-08, 2.16250873403e-05, 0.00041326287429
1498, 4.37134412476e-08, 2.12687974588e-05, 0.000411184449564
1500, 4.21697241734e-08, 2.09177642004e-05, 0.000409110803048
1502, 4.06782818139e-08, 2.05719214232e-05, 0.000407041971895
1504, 3.92374271119e-08, 2.02312036148e-05, 0.000404977992794
1506, 3.78455244693e-08, 1.98955458893e-05, 0.000402918901976
1508, 3.65009882818e-08, 1.95648839853e-05, 0.000400864735209
1510, 3.52022815113e-08, 1.92391542629e-05, 0.000398815527805
1512, 3.39479142952e-08, 1.89182937015e-05, 0.000396771314619
1514, 3.27364425934e-08, 1.86022398968e-05, 0.000394732130047
1516, 3.15664668697e-08, 1.82909310582e-05, 0.000392698008031
1518, 3.04366308092e-08, 1.79843060062e-05, 0.00039066898206
1520, 2.93456200685e-08, 1.76823041693e-05, 0.000388645085167
1522, 2.82921610602e-08, 1.73848655812e-05, 0.000386626349935
1524, 2.72750197692e-08, 1.70919308781e-05, 0.000384612808497
1526, 2.62930006006e-08, 1.68034412954e-05, 0.000382604492535
1528, 2.5344945259e-08, 1.65193386652e-05, 0.000380601433282
1530, 2.44297316574e-08, 1.62395654127e-05, 0.000378603661527
1532, 2.3546272856e-08, 1.59640645532e-05, 0.000376611207611
1534, 2.2693516029e-08, 1.56927796894e-05, 0.00037462410143
1536, 2.18704414604e-08, 1.54256550079e-05, 0.000372642372439
1538, 2.10760615661e-08, 1.51626352758e-05, 0.00037066604965
1540, 2.03094199435e-08, 1.49036658379e-05, 0.000368695161635
1542, 1.95695904468e-08, 1.46486926133e-05, 0.000366729736528
1544, 1.88556762873e-08, 1.43976620918e-05, 0.000364769802023
1546, 1.81668091589e-08, 1.4150521331e-05, 0.000362815385381
1548, 1.7502148388e-08, 1.39072179524e-05, 0.000360866513426
1550, 1.68608801057e-08, 1.36677001386e-05, 0.00035892321255
1552, 1.62422164447e-08, 1.34319166295e-05, 0.000356985508713
1554, 1.56453947567e-08, 1.31998167187e-05, 0.000355053427445
1556, 1.50696768532e-08, 1.29713502504e-05, 0.000353126993847
1558, 1.45143482666e-08, 1.27464676158e-05, 0.000351206232595
1560, 1.39787175321e-08, 1.25251197492e-05, 0.000349291167936
1562, 1.34621154903e-08, 1.23072581252e-05, 0.000347381823696
1564, 1.29638946087e-08, 1.2092834754e-05, 0.000345478223278
1566, 1.24834283234e-08, 1.18818021791e-05, 0.000343580389665
1568, 1.20201103979e-08, 1.16741134727e-05, 0.000341688345419
1570, 1.15733543021e-08, 1.14697222324e-05, 0.000339802112687
1572, 1.11425926072e-08, 1.12685825776e-05, 0.000337921713199
1574, 1.07272763987e-08, 1.10706491458e-05, 0.000336047168272
1576, 1.03268747067e-08, 1.08758770889e-05, 0.00033417849881
1578, 9.94087395116e-09, 1.06842220696e-05, 0.000332315725308
1580, 9.56877740458e-09, 1.04956402575e-05, 0.00033045886785
1582, 9.21010466924e-09, 1.03100883253e-05, 0.000328607946115
1584, 8.86439116998e-09, 1.01275234456e-05, 0.000326762979377
1586, 8.53118766152e-09, 9.94790328649e-06, 0.000324923986504
1588, 8.21005975023e-09, 9.77118600824e-06, 0.000323090985966
1590, 7.9005874297e-09, 9.59733025937e-06, 0.00032126399583
1592, 7.60236463001e-09, 9.42629517292e-06, 0.000319443033769
1594, 7.31499878014e-09, 9.25804036264e-06, 0.000317628117056
1596, 7.03811038319e-09, 9.09252591924e-06, 0.000315819262572
1598, 6.7713326042e-09, 8.92971240661e-06, 0.000314016486806
