velocity, planck_3000, planck_4000, planck_5000
3.85e-06, 56837375007.2, 91050710408.0, 1.26593521177e+11
3.86e-06, 56359953186.7, 90236762427.9, 1.25423153044e+11
3.87e-06, 55887436739.7, 89431804699.3, 1.24266204883e+11
3.88e-06, 55419766753.4, 88635719598.7, 1.23122493579e+11
3.89e-06, 54956885113.2, 87848391271.8, 1.21991838902e+11
3.9e-06, 54498734491.3, 87069705603.6, 1.20874063463e+11
3.91e-06, 54045258334.9, 86299550189.0, 1.19768992658e+11
3.92e-06, 53596400854.7, 85537814303.9, 1.18676454621e+11
3.93e-06, 53152107013.7, 84784388877.3, 1.17596280172e+11
3.94e-06, 52712322516.0, 84039166463.2, 1.16528302776e+11
3.95e-06, 52276993795.9, 83302041213.5, 1.15472358489e+11
3.96e-06, 51846068007.3, 82572908851.4, 1.14428285918e+11
3.97e-06, 51419493012.9, 81851666644.9, 1.13395926171e+11
3.98e-06, 50997217373.6, 81138213381.4, 1.12375122819e+11
3.99e-06, 50579190338.9, 80432449342.1, 1.11365721847e+11
4e-06, 50165361835.9, 79734276277.6, 1.10367571616e+11
4.01e-06, 49755682460.2, 79043597382.9, 1.09380522818e+11
4.02e-06, 49350103465.4, 78360317274.4, 1.0840442844e+11
4.03e-06, 48948576753.9, 77684341965.5, 1.07439143719e+11
4.04e-06, 48551054867.3, 77015578844.1, 1.06484526107e+11
4.05e-06, 48157490977.1, 76353936650.1, 1.05540435229e+11
4.06e-06, 47767838875.2, 75699325452.8, 1.04606732851e+11
4.07e-06, 47382052965.4, 75051656629.0, 1.03683282835e+11
4.08e-06, 47000088253.9, 74410842842.4, 1.0276995111e+11
4.09e-06, 46621900340.9, 73776798021.4, 1.01866605635e+11
4.1e-06, 46247445411.9, 73149437339.7, 1.00973116361e+11
4.11e-06, 45876680229.1, 72528677194.9, 1.000893552e+11
4.12e-06, 45509562123.2, 71914435189.4, 99215195989.8
4.13e-06, 45146048984.8, 71306630110.4, 98350514463.0
4.14e-06, 44786099256.8, 70705181911.0, 97495188213.2
4.15e-06, 44429671926.1, 70110011691.0, 96649096663.8
4.16e-06, 44076726515.5, 69521041679.0, 95812121037.5
4.17e-06, 43727223076.7, 68938195213.2, 94984144325.3
4.18e-06, 43381122181.8, 68361396724.8, 94165051256.8
4.19e-06, 43038384916.5, 67790571719.3, 93354728271.1
4.2e-06, 42698972872.2, 67225646760.0, 92553063488.1
4.21e-06, 42362848139.2, 66666549450.9, 91759946679.8
4.22e-06, 42029973299.1, 66113208419.9, 90975269243.3
4.23e-06, 41700311418.1, 65565553302.6, 90198924173.3
4.24e-06, 41373826039.7, 65023514726.4, 89430806035.5
4.25e-06, 41050481178.4, 64487024294.4, 88670810940.4
4.26e-06, 40730241312.4, 63956014570.2, 87918836517.9
4.27e-06, 40413071377.1, 63430419062.7, 87174781891.6
4.28e-06, 40098936759.1, 62910172211.0, 86438547654.7
4.29e-06, 39787803289.0, 62395209369.7, 85710035845.3
4.3e-06, 39479637235.7, 61885466794.6, 84989149922.6
4.31e-06, 39174405299.7, 61380881628.5, 84275794743.8
4.32e-06, 38872074607.5, 60881391887.2, 83569876541.1
4.33e-06, 38572612705.0, 60386936446.1, 82871302898.6
4.34e-06, 38275987552.0, 59897455026.2, 82179982731.2
4.35e-06, 37982167515.9, 59412888181.4, 81495826261.9
4.36e-06, 37691121366.5, 58933177285.4, 80818745001.0
4.37e-06, 37402818269.8, 58458264518.7, 80148651725.2
4.38e-06, 37117227782.9, 57988092856.4, 79485460456.7
4.39e-06, 36834319847.9, 57522606055.5, 78829086443.5
4.4e-06, 36554064787.2, 57061748643.4, 78179446139.1
4.41e-06, 36276433297.4, 56605465905.1, 77536457183.3
4.42e-06, 36001396444.6, 56153703872.4, 76900038383.1
4.43e-06, 35728925659.1, 55706409311.8, 76270109693.9
4.44e-06, 35458992730.3, 55263529713.4, 75646592201.1
4.45e-06, 35191569801.4, 54825013280.1, 75029408101.8
4.46e-06, 34926629364.8, 54390808915.8, 74418480687.4
4.47e-06, 34664144257.3, 53960866215.9, 73813734325.8
4.48e-06, 34404087655.0, 53535135455.6, 73215094444.3
4.49e-06, 34146433068.5, 53113567580.2, 72622487513.2
4.5e-06, 33891154338.8, 52696114194.8, 72035841028.5
4.51e-06, 33638225632.2, 52282727554.0, 71455083496.4
4.52e-06, 33387621436.0, 51873360552.5, 70880144416.7
4.53e-06, 33139316554.1, 51467966714.9, 70310954267.6
4.54e-06, 32893286102.4, 51066500186.7, 69747444490.0
4.55e-06, 32649505504.7, 50668915724.4, 69189547472.7
4.56e-06, 32407950488.6, 50275168686.6, 68637196537.1
4.57e-06, 32168597080.7, 49885215025.1, 68090325922.8
4.58e-06, 31931421603.3, 49499011275.6, 67548870773.4
4.59e-06, 31696400669.8, 49116514549.2, 67012767122.1
4.6e-06, 31463511180.6, 48737682523.7, 66481951878.2
4.61e-06, 31232730319.9, 48362473435.2, 65956362813.0
4.62e-06, 31004035550.9, 47990846069.8, 65435938546.9
4.63e-06, 30777404612.6, 47622759755.2, 64920618536.0
4.64e-06, 30552815515.8, 47258174352.9, 64410343059.4
4.65e-06, 30330246539.6, 46897050250.1, 63905053206.0
4.66e-06, 30109676227.3, 46539348352.1, 63404690862.8
